title,width,height,data,posA,posB,parfait,star_limit,title_text,snow_total,,,,
3,8,5,"29,29,29,29,29,29,29,29,29,20,0,0,0,0,20,29,29,0,26,10,17,10,0,29,29,29,10,0,29,29,29,29,29,29,29,29,29,29,29,29",2001.1.1,2006.1.1,0,100/200/300,"3,2",10,,,"1,1,1","6,1,1"
3,8,5,"29,29,29,29,29,29,29,29,29,20,0,0,0,0,0,29,29,0,10,7,10,28,0,29,29,0,0,20,29,29,29,29,29,29,29,29,29,29,29,29",2001.1.1,2003.1.3,0,100/200/300,"3,3",11,,,"1,1,1","3,1,3"
3,9,5,"29,29,29,29,29,29,29,29,29,29,29,7,7,7,7,7,29,29,29,29,7,20,39,0,7,29,29,29,20,7,7,0,7,7,0,29,29,29,29,29,29,29,29,29,29",2001.1.3,2003.1.2,0,100/200/300,"3,4",3,,,"1,1,3","3,1,2"
3,8,7,"29,29,29,29,29,29,29,29,29,0,7,0,29,29,29,29,29,7,0,7,20,29,29,29,29,0,7,0,7,20,29,29,29,7,0,7,0,7,0,29,29,0,7,0,7,0,7,29,29,29,29,29,29,29,29,29",2004.1.2,2005.1.3,0,100/200/300,"3,5",11,,,"4,1,2","5,1,3"
3,11,7,"29,29,29,29,29,29,29,29,29,29,29,29,20,7,7,7,7,29,29,29,29,29,29,20,7,7,7,7,29,29,29,0,29,29,29,29,29,7,6,7,7,26,17,29,29,29,29,29,7,6,7,7,26,17,29,29,29,29,29,29,29,29,29,29,0,29,29,29,29,29,29,29,29,29,29,29,29",2001.1.1,2001.1.2,0,100/200/300,"3,6",2,,,"1,1,1","1,1,2"
3,9,6,"29,29,29,29,29,29,29,29,29,29,29,10,10,10,29,29,29,29,29,10,17,17,16,10,29,29,29,29,10,16,17,15,28,20,20,29,29,29,10,29,10,29,29,29,29,29,29,29,29,29,29,29,29,29",2007.1.3,2006.1.3,0,100/200/300,"3,7",8,,,"7,1,3","6,1,3"
3,8,8,"29,29,29,29,29,29,29,29,29,0,7,0,29,29,29,29,29,7,0,7,20,29,29,29,29,0,7,0,7,20,29,29,29,7,0,7,0,7,0,29,29,0,6,0,7,0,7,29,29,7,0,7,0,7,0,29,29,29,29,29,29,29,29,29",2004.1.2,2005.1.3,0,100/200/300,"3,8",14,,,"4,1,2","5,1,3"
3,8,6,"29,29,29,29,29,29,29,29,29,29,10,10,29,29,29,29,29,0,0,7,0,0,0,29,29,20,39,0,10,28,6,29,29,0,7,0,20,0,7,29,29,29,29,29,29,29,29,29",2001.1.3,2004.1.4,0,100/200/300,"3,9",12,,,"1,1,3","4,1,4"
3,7,8,"29,29,29,29,29,29,29,29,17,30,10,17,17,29,29,10,28,0,17,10,29,29,16,10,17,17,17,29,29,10,17,0,0,17,29,29,10,16,16,17,10,29,29,17,17,30,0,0,29,29,29,29,29,29,29,29",2002.2.1,2003.2.6,0,100/200/300,"3,10",12,,,"2,2,1","3,2,6"
3,10,5,"29,29,29,29,29,29,29,29,29,29,29,20,0,0,7,0,0,0,20,29,29,0,10,7,10,7,10,28,0,29,29,0,0,7,10,10,10,29,29,29,29,29,29,29,29,29,29,29,29,29",2001.1.1,2008.1.1,0,100/200/300,"3,11",15,,,"1,1,1","8,1,1"
,,,,,,,,,,,,,
4,9,4,"29,29,29,29,29,29,29,29,29,29,20,4,4,0,4,4,0,29,29,0,2,2,0,2,2,20,29,29,29,29,29,29,29,29,29,29",2001.1.1,2007.1.2,0,100/200/300,"4,1",4,,,"1,1,1","7,1,2"
4,7,6,"29,29,29,29,29,29,29,29,0,20,1,4,4,29,29,0,0,1,0,0,29,29,0,0,1,0,3,29,29,0,20,2,2,3,29,29,29,29,29,29,29,29",2002.1.1,2002.1.4,0,100/200/300,"4,2",9,,,"2,1,1","2,1,4"
4,7,7,"39,39,39,39,39,39,39,39,39,30,39,39,39,39,39,30,10,12,10,39,39,39,39,11,10,12,10,39,39,39,10,11,10,12,39,39,39,39,10,11,10,39,39,39,39,39,39,39,39",2001.2.2,2002.2.1,0,100/200/300,"4,3",8,,,"1,2,2","2,2,1"
4,8,6,"29,29,29,29,29,29,29,29,29,20,0,0,0,29,29,29,29,0,0,0,2,2,10,29,29,0,20,0,0,29,29,29,29,0,26,10,10,29,29,29,29,29,29,29,29,29,29,29",2001.1.1,2002.1.3,0,100/200/300,"4,4",13,,,"1,1,1","2,1,3"
4,7,6,"29,29,29,29,29,29,29,29,20,0,0,0,20,29,29,0,10,10,28,0,29,29,0,13,10,10,29,29,29,0,13,10,29,29,29,29,29,29,29,29,29,29",2001.1.1,2005.1.1,0,100/200/300,"4,5",12,,,"1,1,1","5,1,1"
4,8,6,"29,29,29,29,29,29,29,29,29,10,10,0,29,29,29,29,29,27,14,3,0,0,1,29,29,0,10,10,10,28,0,29,29,20,1,0,0,0,20,29,29,29,29,29,29,29,29,29",2001.1.4,2006.1.4,0,100/200/300,"4,6",13,,,"1,1,4","6,1,4"
4,10,8,"29,29,29,29,29,29,29,29,29,29,29,29,29,0,20,29,29,29,29,29,29,1,4,20,0,29,29,29,29,29,29,2,0,4,29,2,1,0,29,29,29,29,1,2,0,3,0,4,4,29,29,29,1,29,1,29,3,2,0,29,29,29,2,2,0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,29",2004.1.1,2003.1.2,0,100/200/300,"4,7",8,,,"4,1,1","3,1,2"
4,8,8,"29,29,29,29,29,29,29,29,29,29,29,29,0,29,29,29,29,29,0,0,0,0,29,29,29,4,4,0,20,0,29,29,29,29,0,0,0,2,2,29,29,29,20,0,0,0,29,29,29,29,29,0,29,29,29,29,29,29,29,29,29,29,29,29",2002.1.5,2004.1.3,0,100/200/300,"4,8",14,,,"2,1,5","4,1,3"
4,7,7,"29,29,29,29,29,29,29,29,20,1,0,10,29,29,29,0,0,4,0,29,29,29,0,2,0,0,10,29,29,25,0,3,0,29,29,29,10,10,10,20,29,29,29,29,29,29,29,29,29",2004.1.5,2001.1.1,0,100/200/300,"4,9",14,,,"4,1,5","1,1,1"
4,9,7,"29,29,29,29,29,29,29,29,29,29,29,29,29,29,3,29,29,29,29,10,0,0,0,3,0,20,29,29,29,0,10,10,14,20,0,29,29,29,0,13,10,13,28,0,29,29,29,2,0,1,0,0,10,29,29,29,29,29,29,29,29,29,29",2007.1.2,2006.1.3,0,100/200/300,"4,10",16,,,"7,1,2","6,1,3"
